title,category,instructor,capacity_max,description,price,room,time,day_key
DAILY 1 (14.00 - 15.30) - Monday,daily,Fiona,20,"This class will be held at 14.00 PM until 15.30 PM",250000,1A,14.00 - 15.30,Monday
DAILY 1 (14.00 - 15.30) - Tuesday,daily,Fiona,20,"This class will be held at 14.00 PM until 15.30 PM",250000,1A,14.00 - 15.30,Tuesday
DAILY 1 (14.00 - 15.30) - Wednesday,daily,Fiona,20,"This class will be held at 14.00 PM until 15.30 PM",250000,1A,14.00 - 15.30,Wednesday    
DAILY 1 (14.00 - 15.30) - Thursday,daily,Fiona,20,"This class will be held at 14.00 PM until 15.30 PM",250000,1A,14.00 - 15.30,Thursday
DAILY 1 (14.00 - 15.30) - Friday,daily,Fiona,20,"This class will be held at 14.00 PM until 15.30 PM",250000,1A,14.00 - 15.30,Friday
DAILY 1 (14.00 - 15.30) - Saturday,daily,Fiona,20,"This class will be held at 14.00 PM until 15.30 PM",250000,1A,14.00 - 15.30,Saturday

DAILY 2 (16.00 - 17.30) - Monday,daily,Vira,20,"This class will be held at 16.00 PM until 17.30 PM",250000,1A,16.00 - 17.30,Monday
DAILY 2 (16.00 - 17.30) - Tuesday,daily,Vira,20,"This class will be held at 16.00 PM until 17.30 PM",250000,1A,16.00 - 17.30,Tuesday
DAILY 2 (16.00 - 17.30) - Wednesday,daily,Vira,20,"This class will be held at 16.00 PM until 17.30 PM",250000,1A,16.00 - 17.30,Wednesday
DAILY 2 (16.00 - 17.30) - Thursday,daily,Vira,20,"This class will be held at 16.00 PM until 17.30 PM",250000,1A,16.00 - 17.30,Thursday
DAILY 2 (16.00 - 17.30) - Friday,daily,Vira,20,"This class will be held at 16.00 PM until 17.30 PM",250000,1A,16.00 - 17.30,Friday
DAILY 2 (16.00 - 17.30) - Saturday,daily,Vira,20,"This class will be held at 16.00 PM until 17.30 PM",250000,1A,16.00 - 17.30,Saturday

DAILY 3 (18.00 - 19.30) - Monday,daily,Keisha,20,"This class will be held at 18.00 PM until 19.30 PM",250000,1A,18.00 - 19.30,Monday
DAILY 3 (18.00 - 19.30) - Tuesday,daily,Keisha,20,"This class will be held at 18.00 PM until 19.30 PM",250000,1A,18.00 - 19.30,Tuesday
DAILY 3 (18.00 - 19.30) - Wednesday,daily,Keisha,20,"This class will be held at 18.00 PM until 19.30 PM",250000,1A,18.00 - 19.30,Wednesday
DAILY 3 (18.00 - 19.30) - Thursday,daily,Keisha,20,"This class will be held at 18.00 PM until 19.30 PM",250000,1A,18.00 - 19.30,Thursday
DAILY 3 (18.00 - 19.30) - Friday,daily,Keisha,20,"This class will be held at 18.00 PM until 19.30 PM",250000,1A,18.00 - 19.30,Friday
DAILY 3 (18.00 - 19.30) - Saturday,daily,Keisha,20,"This class will be held at 18.00 PM until 19.30 PM",250000,1A,18.00 - 19.30,Saturday
WEEKLY 1 (Mon Wed Fri),weekly,Neila,20,"This class will be held every Monday Wednesday and Friday in the afternoon",700000,1B,16.00 - 17.30,mon;wed;fri
WEEKLY 2 (Tue Thu Sat),weekly,Frisha,20,"This class will be held every Tuesday, Thursday, and Saturday in the evening; Saturday class will be held in the afternoon.",700000,1B,"18.00 - 19.30 (Tue/Thu); 14.00 - 15.30 (Sat)",tue;thur;sat
