id,brand,product_name,category,variant,key_specs,source_url,image_url,marketplace,price
1,Stanley,The Quencher H.2 Flowstate,Tumbler,Cherry Blossom,"This Quencher H2.0 is generously sized (but not oversized) with an easy-carry, comfort-grip handle and a narrow base that will fit most cup holders.",,https://www.stanley1913.com/cdn/shop/files/Web_PNG_Square-TheQuencherH2.OFlowState_Tumbler30OZ-CherryBlossom-Front_6e34148c-8878-4a52-b4d2-e0b5de18ab10.png?v=1751567642&width=1200,https://www.stanley1913.com,750000
2,Stanley,The Quencher H.2 Flowstate,Tumbler,Cranberry,"This Quencher H2.0 is generously sized (but not oversized) with an easy-carry, comfort-grip handle and a narrow base that will fit most cup holders.",,https://www.stanley1913.com/cdn/shop/files/Web_PNG_Square-POBLANO_The_Quencher_H2.O_FlowState_Tumbler_30OZ_-_Cranberry_-_Front.png?v=1755295444&width=1200,https://www.stanley1913.com,750000
3,Stanley,The Quencher H.2 Flowstate,Tumbler,Ash,"This Quencher H2.0 is generously sized (but not oversized) with an easy-carry, comfort-grip handle and a narrow base that will fit most cup holders.",,https://www.stanley1913.com/cdn/shop/files/B2B_Web_PNG-TheQuencherH2.OFlowStateTumbler30OZ-Ash2.0-Front.png?v=1751567642&width=1200,https://www.stanley1913.com,750000
4,Stanley,The Quencher ProTour Flip Straw,Tumbler,Mocha Latte,"Introducing the iconic Quencher, now with the leakproof ProTour Flip Straw lid.",,https://www.stanley1913.com/cdn/shop/files/Web_PNG_Square-2025-07-03_The_Quencher_ProTour_Flip_Straw_Tumbler_40OZ_-_Mocha_Latte_-Front.png?v=1758731232&width=1200,https://www.stanley1913.com,750000
5,Stanley,The Quencher ProTour Flip Straw,Tumbler,Cashmere,"Introducing the iconic Quencher, now with the leakproof ProTour Flip Straw lid.",,https://www.stanley1913.com/cdn/shop/files/Web_PNG_Square-2025-07-10_The_Quencher_ProTour_Flip_Straw_Tumbler_40OZ_-_Cashmere_-_Front.png?v=1758638030&width=1200,https://www.stanley1913.com,750000
6,Corkcicle,Unicorn Magic Sport Canteen,Tumbler,Rainbow Unicorn,Fit for whatever makes you move. Sport Canteen keeps beverages cold for 25 hours or hot for up to 12.,,https://corkcicle.com/cdn/shop/files/2020SRU-3_1000x.png?v=1757430376,corkcicle.com,670000
7,Corkcicle,Unicorn Magic Sport Canteen,Tumbler,Lover,Fit for whatever makes you move. Sport Canteen keeps beverages cold for 25 hours or hot for up to 12.,,https://corkcicle.com/cdn/shop/files/2020SL_1000x.png?v=1757430376,corkcicle.com,670000
8,Corkcicle,Unicorn Magic Sport Canteen,Tumbler,Unicorn Wonderland,Fit for whatever makes you move. Sport Canteen keeps beverages cold for 25 hours or hot for up to 12.,,https://corkcicle.com/cdn/shop/files/2020SUW-03_1000x.png?v=1757430376,corkcicle.com,675000
9,Corkcicle,Unicorn Magic Sport Canteen,Tumbler,Ice Breaker,Fit for whatever makes you move. Sport Canteen keeps beverages cold for 25 hours or hot for up to 12.,,https://corkcicle.com/cdn/shop/files/2020SIB-03_1000x.png?v=1755802260,corkcicle.com,675000
10,Corkcicle,Unicorn Magic Sport Canteen,Tumbler,Unicorn Magis,Fit for whatever makes you move. Sport Canteen keeps beverages cold for 25 hours or hot for up to 12.,,https://corkcicle.com/cdn/shop/files/2020SUM_ae4b7cac-962d-4d57-af15-6e575e893664_1000x.png?v=1757430376,corkcicle.com,879000
11,Hydro Flask,32 Oz Wide Mouth Travel Bottle,Tumbler,Tonal Trillium,Wide mouth insulated bottle with straw that fits in cupholders.,,https://www.hydroflask.com/media/catalog/product/cache/b2f1ce2dfe10d3d31bf2056bf6e0d10f/w/t/wt32cfs678-32-oz-wide-flex-straw-travel-bottle-trillium-straight_1.jpg,hydroflask.com,879000
12,Hydro Flask,32 Oz Wide Mouth Travel Bottle,Tumbler,Reef,Wide mouth insulated bottle with straw that fits in cupholders.,,https://www.hydroflask.com/media/catalog/product/cache/b2f1ce2dfe10d3d31bf2056bf6e0d10f/w/t/wt32cfs677-32-oz-wide-flex-straw-travel-bottle-reef-straight_1.jpg,hydroflask.com,879000
13,Hydro Flask,32 Oz Wide Mouth Travel Bottle,Tumbler,Botanical Bliss,Wide mouth insulated bottle with straw that fits in cupholders.,,https://www.hydroflask.com/media/catalog/product/cache/b2f1ce2dfe10d3d31bf2056bf6e0d10f/w/t/wt32cfs377p-32-oz-wide-flex-straw-travel-bottle--botanical-bliss-agave-straight_1.jpg,hydroflask.com,879000
14,Hydro Flask,32 Oz Wide Mouth Travel Bottle,Tumbler,Tonal Birch,Wide mouth insulated bottle with straw that fits in cupholders.,,https://www.hydroflask.com/media/catalog/product/cache/b2f1ce2dfe10d3d31bf2056bf6e0d10f/w/t/wt32cfs035-32-oz-wide-flex-straw-travel-bottle-birch-straight_1.jpg,hydroflask.com,879000
15,Hydro Flask,32 Oz Wide Mouth Travel Bottle,Tumbler,Beachplum Purple,Wide mouth insulated bottle with straw that fits in cupholders.,,https://www.hydroflask.com/media/catalog/product/cache/b2f1ce2dfe10d3d31bf2056bf6e0d10f/w/t/wt32cfs526_32ozwideflexstrawtravelbottle_beachplumpurple_straighton.jpg,hydroflask.com,589000
